標題,筆記,網址,標籤,留言
蔡三毛豬血攤 府城王宮口支攤,痛風老饕-,https://www.google.com/maps/place/%E8%94%A1%E4%B8%89%E6%AF%9B%E8%B1%AC%E8%A1%80%E6%94%A4+%E5%BA%9C%E5%9F%8E%E7%8E%8B%E5%AE%AE%E5%8F%A3%E6%94%AF%E6%94%A4/data=!4m2!3m1!1s0x346e767b1c4b4df5:0x459a0d2a6889c3c2,,
黃胖妞豬心,痛風老饕-,https://www.google.com/maps/place/%E9%BB%83%E8%83%96%E5%A6%9E%E8%B1%AC%E5%BF%83/data=!4m2!3m1!1s0x346e774f1d09cbc1:0x54759898bd10bf89,,
44Bit四四拍唱片行 無訂位服務/早午餐/DJ教學/活動企劃,痛風老饕-飲料,https://www.google.com/maps/place/44Bit%E5%9B%9B%E5%9B%9B%E6%8B%8D%E5%94%B1%E7%89%87%E8%A1%8C+%E7%84%A1%E8%A8%82%E4%BD%8D%E6%9C%8D%E5%8B%99%2F%E6%97%A9%E5%8D%88%E9%A4%90%2FDJ%E6%95%99%E5%AD%B8%2F%E6%B4%BB%E5%8B%95%E4%BC%81%E5%8A%83/data=!4m2!3m1!1s0x346e772b753bb631:0x51cd263ccc43496b,,
阿枝米粉湯,痛風老饕,https://www.google.com/maps/place/%E9%98%BF%E6%9E%9D%E7%B1%B3%E7%B2%89%E6%B9%AF/data=!4m2!3m1!1s0x3442aa00bd111c53:0x19ca2810f9165d,,
巷仔內米粉湯,痛風老饕,https://www.google.com/maps/place/%E5%B7%B7%E4%BB%94%E5%85%A7%E7%B1%B3%E7%B2%89%E6%B9%AF/data=!4m2!3m1!1s0x3442aa00a29523fd:0x5deb005525eb3722,,
周記手工家常麵,痛風老饕,https://www.google.com/maps/place/%E5%91%A8%E8%A8%98%E6%89%8B%E5%B7%A5%E5%AE%B6%E5%B8%B8%E9%BA%B5/data=!4m2!3m1!1s0x3442a90c9a9a0b27:0x3c2d5764f39b64d8,,
果果香,,https://www.google.com/maps/place/%E6%9E%9C%E6%9E%9C%E9%A6%99/data=!4m2!3m1!1s0x3442a9733f97838b:0x152398e3702dc196,,
北北車魯肉飯,痛風老饕,https://www.google.com/maps/place/%E5%8C%97%E5%8C%97%E8%BB%8A%E9%AD%AF%E8%82%89%E9%A3%AF/data=!4m2!3m1!1s0x3442a9731b2c95bf:0x654fb183da334e33,,
黑點雞肉,痛風老饕,https://www.google.com/maps/place/%E9%BB%91%E9%BB%9E%E9%9B%9E%E8%82%89/data=!4m2!3m1!1s0x3442a9132699e471:0x3bd3af4cd015fd89,,
69年老店麵攤（米粉湯）,痛風老饕,https://www.google.com/maps/place/69%E5%B9%B4%E8%80%81%E5%BA%97%E9%BA%B5%E6%94%A4%EF%BC%88%E7%B1%B3%E7%B2%89%E6%B9%AF%EF%BC%89/data=!4m2!3m1!1s0x3442a96daf92404f:0x626b0e69dd385bb,,
鴨肉和,,https://www.google.com/maps/place/%E9%B4%A8%E8%82%89%E5%92%8C/data=!4m2!3m1!1s0x346e0461296541b3:0x1e664bd8c86a857d,,
阿萬意麵,天菜娘娘-鹽水意麵,https://www.google.com/maps/place/%E9%98%BF%E8%90%AC%E6%84%8F%E9%BA%B5/data=!4m2!3m1!1s0x346e04613499d847:0xc56b9d44e78d3b7d,,
漁港23 海鮮炸物,阿達ADA,https://www.google.com/maps/place/%E6%BC%81%E6%B8%AF23+%E6%B5%B7%E9%AE%AE%E7%82%B8%E7%89%A9/data=!4m2!3m1!1s0x3467e92c98116f73:0xd65aad8aedd121a2,,
